Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
14,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=102&Legislature=49&Session_ID=87,"-Education Accountability and Reform
-Government Institutions
-Public Safety and Human Services",lgray@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",309,(602) 926-3376,Sen.,(602) 417-3253,,District 10,"-Education Accountability and Reform
-Government Institutions
-Public Safety and Human Services",,,D,Arizona Senate,,,,none listed,,,y,Linda Gray.jpg,Linda,Gray
15,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=95&Legislature=49&Session_ID=87,"-Appropriations
-National Resources, Infrastructure and Public Debt
-Veterans and Military Affairs
-Appropriations Subcommittee on Health and Welfare",ahale@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",313,(602) 926-4323,Sen.,(602) 417-3160,,District 2,"-Appropriations
-National Resources, Infrastructure and Public Debt
-Veterans and Military Affairs
-Appropriations Subcommittee on Health and Welfare",,,R,Arizona Senate,,,,twitter.com/HarperForAZ,,,y,Albert Hale.jpg,Albert,Hale
16,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=97&Legislature=49&Session_ID=87,"-Appropriations
-Government Institutions
-Veterans and Military Affairs
-Appropriations Subcommittee on Transportation and Criminal Justice",jharper@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",301,(602) 926-4178,Sen.,(602) 417-3154,,District 4,"-Appropriations
-Government Institutions
-Veterans and Military Affairs
-Appropriations Subcommittee on Transportation and Criminal Justice",,,R,Arizona Senate,,,,none listed,,,y,Jack W. Harper.jpg,Jack W.,Harper
17,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=111&Legislature=49&Session_ID=87,"-Education Accountability and Reform
-Judiciary
-Retirement and Rural Development",jhuppenthal@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",300,(602) 926-5261,Sen.,(602) 417-3257,,District 20,"-Education Accountability and Reform
-Judiciary
-Retirement and Rural Development",,,D,Arizona Senate,,,,none listed,,,y,John Huppenthal.jpg,John,Huppenthal
18,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=123&Legislature=49&Session_ID=87,"-Education Accountability and Reform
-National Resources, Infrastructure and Public Debt
-Public Safety and Human Services",llandrumtaylor@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",312,(602) 926-3830,President Pro Tempore,(602) 417-3148,,District 16,"-Education Accountability and Reform
-National Resources, Infrastructure and Public Debt
-Public Safety and Human Services",,,R,Arizona Senate,,,,none listed,,,y,Leah Landrum Taylor.jpg,Leah Landrum,Taylor
19,,,http://barbaraleff.com,http://www.azleg.gov/MembersPage.asp?Member_ID=103&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Finance
-Healthcare and Medical Liability Reform",bleff@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",302,(602) 926-4486,Minority Whip,(602) 417-3270,,District 11,"-Commerce and Economic Development
-Finance
-Healthcare and Medical Liability Reform",,,D,Arizona Senate,,,,none listed,,,y,Barbara Leff.jpg,Barbara,Leff
20,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=120&Legislature=49&Session_ID=87,"-Education Accountability and Reform
-Healthcare and Medical Liability Reform
-Retirement and Rural Development",llopez@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",315,(602) 926-4089,Sen.,(602) 417-3029,,District 29,"-Education Accountability and Reform
-Healthcare and Medical Liability Reform
-Retirement and Rural Development",,,D,Arizona Senate,,,,none listed,,,y,Linda Lopez.jpg,Linda,Lopez
21,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=106&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Finance
-Rules",dmccunedavis@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",311,(602) 926-4485,Sen.,(602) 926-3429,,District 14,"-Commerce and Economic Development
-Finance
-Rules",,,R,Arizona Senate,,,,none listed,,,y,Debbie McCune Davis.jpg,Debbie,McCune Davis
22,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=117&Legislature=49&Session_ID=87,"-Appropriations
-Public Safety and Human Services
-Veterans and Military Affairs
-Appropriations Subcommittee on Transportation and Criminal Justice",amelvin@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",303,(602) 926-4326,Sen.,(602) 417-3259,,District 26,"-Appropriations
-Public Safety and Human Services
-Veterans and Military Affairs
-Appropriations Subcommittee on Transportation and Criminal Justice",,,D,Arizona Senate,,,,none listed,,,y,Al Melvin.jpg,Al,Melvin
23,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=105&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Finance
-Judiciary",rmiranda@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",308,(602) 926-5911,Sen.,(602) 417-3271,,District 13,"-Commerce and Economic Development
-Finance
-Judiciary",,,R,Arizona Senate,,,,none listed,,,y,Richard Miranda.jpg,Richard,Miranda
24,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=104&Legislature=49&Session_ID=87,"-Healthcare and Medical Liability Reform
-Natural Resources, Infrastructure and Public Debt
-Veterans and Military Affairs",jnelson@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",305,(602) 926-5872,Sen.,(602) 417-3112,,District 12,"-Healthcare and Medical Liability Reform
-Natural Resources, Infrastructure and Public Debt
-Veterans and Military Affairs",,,R,Arizona Senate,,,,none listed,,,y,John Nelson.jpg,John,Nelson
25,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=121&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Education Accountability and Reform
-Judiciary",jpaton@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",304,(602) 926-3235,Sen.,(602) 417-3030,,District 30,"-Commerce and Economic Development
-Education Accountability and Reform
-Judiciary",,,R,Arizona Senate,,,,none listed,,,y,Jonathan Paton.jpg,Jonathan,Paton
26,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=109&Legislature=49&Session_ID=87,"-Appropriations
-Finance
-Judiciary
-Appropriations Subcommittee on Education and National Resources
-Appropriations Subcommittee on Health and Welfare
-Appropriations Subcommittee on Transportation and Criminal Justice",rpearce@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",110,(602) 926-5760,Majority Whip,(602) 417-3118,,District 18,"-Appropriations
-Finance
-Judiciary
-Appropriations Subcommittee on Education and National Resources
-Appropriations Subcommittee on Health and Welfare
-Appropriations Subcommittee on Transportation and Criminal Justice",,,R,Arizona Senate,,,,none listed,,,y,Russell Pearce.jpg,Russell,Pearce
27,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=94&Legislature=49&Session_ID=87,"-Appropriations
-Finance
-National Resources, Infrastructure and Public Debt
-Retirement and Rural Development
-Appropriations Subcommittee on Education and Natural Resources",spierce@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",212,(602) 926-5584,Assistant Minority Leader,(602) 926-3429,,District 1,"-Appropriations
-Finance
-National Resources, Infrastructure and Public Debt
-Retirement and Rural Development
-Appropriations Subcommittee on Education and Natural Resources",,,D,Arizona Senate,,,,none listed,,,y,Steve Pierce.jpg,Steve,Pierce
28,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=114&Legislature=49&Session_ID=87,"-Appropriations
-Public Safety and Human Services
-Retirement and Rural Development
-Appropriations Subcommittee on Transportation and Criminal Justice",rrios@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",213,(602) 926-5685,Sen.,(602) 417-3167,,District 23,"-Appropriations
-Public Safety and Human Services
-Retirement and Rural Development
-Appropriations Subcommittee on Transportation and Criminal Justice",,,R,Arizona Senate,,,,none listed,,,y,Rebecca Rios.jpg,Rebecca,Rios
29,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=112&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Government Institutions
-Public Safety and Human Services",jtibshraeny@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",306,(602) 926-4481,Sen.,(602) 417-3252,,District 21,"-Commerce and Economic Development
-Government Institutions
-Public Safety and Human Services",,,R,Arizona Senate,,,,none listed,,,y,Jay Tibshraeny.jpg,Jay,Tibshraeny
30,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=113&Legislature=49&Session_ID=87,"-Commerce and Economic Development
-Healthcare and Medical Liability Reform
-Rules",tverschoor@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",310,(602) 926-4136,Sen.,(602) 417-3220,,District 22,"-Commerce and Economic Development
-Healthcare and Medical Liability Reform
-Rules",,,R,Arizona Senate,,,,none listed,,,y,Thayer Verschoor.jpg,Thayer,Verschoor
31,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=99&Legislature=49&Session_ID=87,"-Finance
-Government Institutions
-Public Safety and Human Services",jwaring@azleg.gov,,"Arizona State Senate
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",302,(602) 926-4916,Sen.,(602) 417-3250,,District 7,"-Finance
-Government Institutions
-Public Safety and Human Services",,,D,Arizona House,,,,none listed,,,y,Jim Waring.jpg,Jim,Waring
32,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=5&Legislature=49&Session_ID=87,"-Environment
-Health and Human Services",eableser@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",331,(602) 926-4118,Speaker of the House,(602) 417-3164,,District 17,"-Environment
-Health and Human Services",,,R,Arizona House,,,,none listed,,,y,Edward Ableser.jpg,Edward,Ableser
33,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=6&Legislature=49&Session_ID=87,-Rules,kadams@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",221,(602) 926-5495,Rep.,(602) 417-3019,,District 19,-Rules,,,R,Arizona House,,,,none listed,,,y,Kirk Adams.jpg,Kirk,Adams
34,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=34&Legislature=49&Session_ID=87,"-Government
-Health and Human Services
-Transportation and Infrastructure",fantenori@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",307,(602) 926-5683,Rep.,(602) 417-3147,,District 30,"-Government
-Health and Human Services
-Transportation and Infrastructure",,,R,Arizona House,,,,none listed,,,y,Frank Antenori.jpg,Frank,Antenori
35,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=1&Legislature=49&Session_ID=87,"-Banking and Insurance
-Judiciary
-Public Employees, Retirement and Entitlement Reform",cash@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",127,(602) 926-3160,Rep.,(602) 417-3151,,District 18,"-Banking and Insurance
-Judiciary
-Public Employees, Retirement and Entitlement Reform",,,R,Arizona House,,,,none listed,,,y,Cecil P. Ash.jpg,Cecil P.,Ash
36,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=2&Legislature=49&Session_ID=87,"-Environment
-Military Affairs and Public Safety",rbarnes@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",110,(602) 926-5503,Rep.,(602) 417-3107,,District 7,"-Environment
-Military Affairs and Public Safety",,,R,Arizona House,,,,none listed,,,y,Ray Barnes.jpg,Ray,Barnes
37,,,http://nancybarto.com/wordpress/,http://www.azleg.gov/MembersPage.asp?Member_ID=3&Legislature=49&Session_ID=87,"-Education
-Health and Human Services
-Judiciary",nbarto@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",112,(602) 926-5766,Rep.,(602) 417-3011,,District 7,"-Education
-Health and Human Services
-Judiciary",,,R,Arizona House,,,,none listed,,,y,Nancy K. Barto.jpg,Nancy K.,Barto
38,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=4&Legislature=49&Session_ID=87,"-Appropriations
-Transportation and Infrastructure
-Ways and Means",abiggs@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",312,(602) 926-4371,Rep.,(602) 417-3022,,District 22,"-Appropriations
-Transportation and Infrastructure
-Ways and Means",,,R,Arizona House,,,,none listed,,,y,Andy Biggs.jpg,Andy,Biggs
39,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=8&Legislature=49&Session_ID=87,"-Health and Human Services
-Public Employees, Retirement and Entitlement Reform",tboone@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",313,(602) 926-3297,Rep.,(602) 417-3004,,District 4,"-Health and Human Services
-Public Employees, Retirement and Entitlement Reform",,,D,Arizona House,,,,none listed,,,y,Tom Boone.jpg,Tom,Boone
40,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=9&Legislature=49&Session_ID=87,"-Banking and Insurance
-Health and Human Services",dbradley@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",337,(602) 926-3300,Assistant Minority Leader,(602) 417-3028,,District 28,"-Banking and Insurance
-Health and Human Services",,,D,Arizona House,,,,none listed,,,y,David Bradley.jpg,David,Bradley
41,,,http://www.jackabrown.com/,http://www.azleg.gov/MembersPage.asp?Member_ID=10&Legislature=49&Session_ID=87,"-Rules
-Ways and Means",jbrown@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",316,(602) 926-4129,Rep.,(602) 417-3010,,District 5,"-Rules
-Ways and Means",,,R,Arizona House,,,,none listed,,,y,Jack A. Brown.gif,Jack A.,Brown
42,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=11&Legislature=49&Session_ID=87,"-Public Employees, Retirement and Entitlement Reform
-Transportation and Infrastructure",jburges@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",342,(602) 926-5861,Rep.,(602) 417-3104,,District 4,"-Public Employees, Retirement and Entitlement Reform
-Transportation and Infrastructure",,,D,Arizona House,,,,none listed,,,y,Judy M. Burges.gif,Judy M.,Burges
43,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=13&Legislature=49&Session_ID=87,"-Appropriations
-Commerce",ocajerobedford@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",338,(602) 926-5835,Minority Whip,(602) 417-3027,,District 27,"-Appropriations
-Commerce",,,D,Arizona House,,,,none listed,,,y,Olivia Cajero Bedford.gif,Olivia,Cajero Bedford
44,,,http://chadcampbell.org/,http://www.azleg.gov/MembersPage.asp?Member_ID=14&Legislature=49&Session_ID=87,"-Commerce
-Government",chcampbell@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",333,(602) 926-3026,Rep.,(602) 417-3037,,District 14,"-Commerce
-Government",,,D,Arizona House,,,,none listed,,,y,Chad Campbell.gif,Chad,Campbell
45,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=15&Legislature=49&Session_ID=87,"-Appropriations
-Banking and Insurance",clcampbell@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",124,(602) 926-3042,Rep.,(602) 417-3117,,District 16,"-Appropriations
-Banking and Insurance",,,D,Arizona House,,,,none listed,,,y,"Cloves C. Campbell, Jr.gif",Cloves C.,"Campbell, Jr. "
46,,,none listed,http://www.azleg.gov/MembersPage.asp?Member_ID=91&Legislature=49&Session_ID=87,"-Government
-Ways and Means",tchabin@azleg.gov,,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",,"Arizona House of Representatives
Capitol Complex
1700 West Washington
Phoenix, AZ 85007-2890",318,(602) 926-5160,Rep.,(602) 417-3002,,District 2,"-Government
-Ways and Means",,,R,Arizona House,,,,none listed,,,y,Tom Chabin.gif,Tom,Chabin
